sno,URL,id,desc,stars,num_ratings,num_reviews,reviews,vader_score,final_score,trending_score
267,http://flipkart.com/lewel-color-block-men-hooded-neck-multicolor-t-shirt/p/itm0b67523b77665?pid=TSHF9BR53ZTQUWZQ&lid=LSTTSHF9BR53ZTQUWZQFB2TFM&marketplace=FLIPKART&srno=b_7_271&otracker=browse&fm=organic&iid=4746c189-54f6-4625-b477-2b64f473795c.TSHF9BR53ZTQUWZQ.SEARCH&ssid=6mmp9c07a80000001594558674040,267,Color Block Men Hooded Neck Multicolor T-Shirt,4.0,71928,9760,nyc excellent ❤️it looks amazing,1.1578,0.134575394,22556.4134575394
40,http://flipkart.com/lewel-color-block-men-hooded-neck-white-blue-yellow-t-shirt/p/itmdeb5477c07276?pid=TSHFGXA992XGBHYR&lid=LSTTSHFGXA992XGBHYRD9FMSU&marketplace=FLIPKART&srno=b_2_42&otracker=browse&fm=organic&iid=e0e43fd6-d5ac-40c2-821e-a759f27c429e.TSHFGXA992XGBHYR.SEARCH&ssid=hrtccklx000000001594558668845,40,"Color Block Men Hooded Neck White, Blue, Yellow T-Shirt",4.0,71926,9760,nyc excellent ❤️it looks amazing,1.1578,0.13457253,22555.813457253
29,http://flipkart.com/try-color-block-men-polo-neck-maroon-blue-t-shirt/p/itm8c26104c6156a?pid=TSHFFWKAPUSBUGPB&lid=LSTTSHFFWKAPUSBUGPBEE7CAQ&marketplace=FLIPKART&srno=b_1_31&otracker=browse&fm=organic&iid=d0920f43-cca6-4dc5-863f-41ead707b589.TSHFFWKAPUSBUGPB.SEARCH&ssid=q34d5cw9vk0000001594558667706,29,"Color Block Men Polo Neck Maroon, Blue T-Shirt",3.8,51508,7410,nyc product  gud quality very nice dress loved it,1.0209,0.091208807,16195.3091208807
2,http://flipkart.com/try-solid-men-polo-neck-white-black-t-shirt/p/itm2c2c28da76aa7?pid=TSHF8UEUQPUSH9HF&lid=LSTTSHF8UEUQPUSH9HFSXT9IB&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=d0920f43-cca6-4dc5-863f-41ead707b589.TSHF8UEUQPUSH9HF.SEARCH&ssid=q34d5cw9vk0000001594558667706,2,"Solid Men Polo Neck White, Black T-Shirt",3.8,51508,7410,nyc product  gud quality very nice dress loved it,1.0209,0.091208807,16195.3091208807
77,http://flipkart.com/u-s-polo-assn-solid-men-neck-blue-t-shirt/p/itmf8fk2y3ky6yt6?pid=TSHF8FJRAGZUEC6H&lid=LSTTSHF8FJRAGZUEC6H2WUEIY&marketplace=FLIPKART&srno=b_2_79&otracker=browse&fm=organic&iid=e0e43fd6-d5ac-40c2-821e-a759f27c429e.TSHF8FJRAGZUEC6H.SEARCH&ssid=hrtccklx000000001594558668845,77,Solid Men Polo Neck Blue T-Shirt,4.2,34773,3322,looking cool this product awesome 👌 nice and comfortable,2.6049,0.076469201,10766.2076469201
31,http://flipkart.com/u-s-polo-assn-solid-men-neck-white-t-shirt/p/itmf8fk46hnfhdht?pid=TSHF8FJREQXZYFYY&lid=LSTTSHF8FJREQXZYFYY3NN5PV&marketplace=FLIPKART&srno=b_1_33&otracker=browse&fm=organic&iid=d0920f43-cca6-4dc5-863f-41ead707b589.TSHF8FJREQXZYFYY.SEARCH&ssid=q34d5cw9vk0000001594558667706,31,Solid Men Polo Neck White T-Shirt,4.2,34773,3322,looking cool this product awesome 👌 nice and comfortable,2.6049,0.076469201,10766.2076469201
35,http://flipkart.com/u-s-polo-assn-solid-men-neck-purple-t-shirt/p/itmf8fk79dpqsgst?pid=TSHF8FJRKRZMZNNR&lid=LSTTSHF8FJRKRZMZNNRNZSSUV&marketplace=FLIPKART&srno=b_1_37&otracker=browse&fm=organic&iid=d0920f43-cca6-4dc5-863f-41ead707b589.TSHF8FJRKRZMZNNR.SEARCH&ssid=q34d5cw9vk0000001594558667706,35,Solid Men Polo Neck Purple T-Shirt,4.2,34773,3322,looking cool this product awesome 👌 nice and comfortable,2.6049,0.076469201,10766.2076469201
126,http://flipkart.com/u-s-polo-assn-solid-men-neck-green-t-shirt/p/itmf8fk7jtgykgak?pid=TSHF8FJRS5EN8NNU&lid=LSTTSHF8FJRS5EN8NNUXANKTP&marketplace=FLIPKART&srno=b_4_128&otracker=browse&fm=organic&iid=9756798c-38ff-41c7-aef4-c55f9338907b.TSHF8FJRS5EN8NNU.SEARCH&ssid=ge4c1q3krk0000001594558670633,126,Solid Men Polo Neck Green T-Shirt,4.2,34773,3322,looking cool this product awesome 👌 nice and comfortable,2.6049,0.076469201,10766.2076469201
115,http://flipkart.com/u-s-polo-assn-solid-men-neck-blue-t-shirt/p/itmf8fk87j7tgfca?pid=TSHF8FJRYZXVYKHG&lid=LSTTSHF8FJRYZXVYKHGNQWJSQ&marketplace=FLIPKART&srno=b_3_117&otracker=browse&fm=organic&iid=c09d5f75-3b15-4883-988f-c5a4387ea141.TSHF8FJRYZXVYKHG.SEARCH&ssid=ts34bhz2f40000001594558669663,115,Solid Men Polo Neck Blue T-Shirt,4.2,34773,3322,looking cool this product awesome 👌 nice and comfortable,2.6049,0.076469201,10766.2076469201
236,http://flipkart.com/u-s-polo-assn-solid-men-neck-red-t-shirt/p/itmf8fk5bhrynfgr?pid=TSHF8FJRTBY34DCV&lid=LSTTSHF8FJRTBY34DCVDLTEDY&marketplace=FLIPKART&srno=b_6_239&otracker=browse&fm=organic&iid=871131f8-fe7f-4004-be84-ebc2138e98ab.TSHF8FJRTBY34DCV.SEARCH&ssid=q68lubod280000001594558672762,236,Solid Men Polo Neck Red T-Shirt,4.2,34773,3322,looking cool this product awesome 👌 nice and comfortable,2.6049,0.076469201,10766.2076469201
